Product,Category,Cost,Discount,Quantity,SalesDate,CustomerID,CustomerReview,SalesPrice
Novel,Online,313.61,9.41,10,2023-11-11,Customer_2,4797,284.09929900000003
Sunglasses,Promotions,320.15,6.84,7,2023-10-24,Customer_3,1404,298.25174
Desk Lamp,Promotions,85.3,6.05,4,2023-11-04,Customer_1,3012,80.13935
Fitness Tracker,Online,203.9,8.57,9,2023-09-18,Customer_2,8664,186.42577
Bluetooth Speaker,Store,218.87,5.63,5,2023-11-12,Customer_3,7522,206.547619
Digital Camera,Gifts,264.73,9.93,5,2023-09-28,Customer_1,2894,238.44231100000002
T-shirt,Store,338.12,9.46,4,2023-10-17,Customer_2,4417,306.133848
Travel Mug,Promotions,473.77,8.5,8,2023-10-16,Customer_3,5611,433.49955
Digital Camera,Gifts,465.77,7.65,5,2023-09-20,Customer_1,2687,430.138595
Microwave,Gifts,120.57,2.24,4,2023-11-05,Customer_2,2696,117.869232
Travel Mug,Store,498.8,5.59,4,2023-10-28,Customer_3,2518,470.91708
Fitness Tracker,Promotions,451.24,3.44,1,2023-11-04,Customer_1,7967,435.717344
Microwave,Online,301.79,3.77,2,2023-10-30,Customer_2,5414,290.41251700000004
Novel,Online,438.96,6.22,3,2023-09-21,Customer_3,9720,411.656688
Smartphone,Online,59.1,6.36,9,2023-11-01,Customer_1,9459,55.34124
Microwave,Store,302.71,4.76,1,2023-10-03,Customer_2,4210,288.301004
Gaming Console,Gifts,78.37,3.21,4,2023-10-18,Customer_3,2617,75.85432300000001
Travel Mug,Online,146.27,1.02,5,2023-10-22,Customer_1,8132,144.77804600000002
Microwave,Store,273.74,1.08,6,2023-11-10,Customer_2,2968,270.783608
Air Purifier,Promotions,206.28,4.42,2,2023-11-06,Customer_3,973,197.162424
Travel Mug,Promotions,334.34,1.88,2,2023-11-04,Customer_1,996,328.05440799999997
Novel,Store,89.42,2.01,9,2023-10-27,Customer_2,5427,87.622658
Laptop,Gifts,223.43,1.04,2,2023-10-25,Customer_3,5361,221.10632800000002
Smartphone,Promotions,152.79,7.81,8,2023-10-18,Customer_1,7876,140.857101
Headphones,Promotions,377.88,8.02,10,2023-10-07,Customer_2,7965,347.574024
T-shirt,Store,60.45,2.43,10,2023-11-10,Customer_3,5406,58.981065
Cookware Set,Online,276.69,2.22,3,2023-11-01,Customer_1,5793,270.547482
Air Purifier,Store,398.77,7.61,9,2023-10-03,Customer_2,9187,368.42360299999996
Novel,Gifts,344.84,8.62,10,2023-10-26,Customer_3,6060,315.11479199999997
Cookware Set,Gifts,468.23,9.16,5,2023-10-20,Customer_1,9601,425.34013200000004
Laptop,Store,70.54,8.92,4,2023-10-06,Customer_2,9326,64.247832
Smartphone,Store,386.12,5.73,1,2023-10-26,Customer_3,8266,363.995324
Laptop,Store,77.57,4.79,8,2023-11-02,Customer_1,5953,73.85439699999999
Air Purifier,Promotions,377.18,2.95,6,2023-10-26,Customer_2,6177,366.05319000000003
Yoga Mat,Online,147.54,3.13,4,2023-09-22,Customer_3,290,142.921998
Air Purifier,Gifts,67.23,8.58,2,2023-10-21,Customer_1,1114,61.46166600000001
